region,gender,english,math,year,country
"Dar Es Salaam"," Male",2.984,5.05691051483,2010,"Tanzania"
"Dar Es Salaam","Female",3.049661,5.32863855362,2010,"Tanzania"
"Dodoma"," Male",2.639671,4.78748512268,2010,"Tanzania"
"Dodoma","Female",2.653496,4.77551031113,2010,"Tanzania"
"Iringa"," Male",3.433962,5.45202541351,2010,"Tanzania"
"Iringa","Female",3.460606,5.52049160004,2010,"Tanzania"
"Kagera"," Male",2.450274,4.60953521729,2010,"Tanzania"
"Kagera","Female",2.52687,4.63416481018,2010,"Tanzania"
"Kigoma"," Male",2.147651,3.83333325386,2010,"Tanzania"
"Kigoma","Female",2.142518,3.9471154213,2010,"Tanzania"
"Kilimanjaro"," Male",3.360907,5.35297489166,2010,"Tanzania"
"Kilimanjaro","Female",3.524985,5.50324869156,2010,"Tanzania"
"Lindi"," Male",2.240088,4.48672580719,2010,"Tanzania"
"Lindi","Female",2.021459,4.22030258179,2010,"Tanzania"
"Manyara"," Male",3.169872,5.20811080933,2010,"Tanzania"
"Manyara","Female",3.346983,5.34412097931,2010,"Tanzania"
"Mara"," Male",3.1,5.09473705292,2010,"Tanzania"
"Mara","Female",2.966457,5.04439735413,2010,"Tanzania"
"Mbeya"," Male",2.97349,5.21481466293,2010,"Tanzania"
"Mbeya","Female",3,5.25555562973,2010,"Tanzania"
"Morogoro"," Male",2.535443,4.95782756805,2010,"Tanzania"
"Morogoro","Female",2.602175,4.94843578339,2010,"Tanzania"
"Mtwara"," Male",2.379205,4.85932731628,2010,"Tanzania"
"Mtwara","Female",2.433908,5.00574731827,2010,"Tanzania"
"Mwanza"," Male",2.784192,4.97439432144,2010,"Tanzania"
"Mwanza","Female",2.844746,5.05862045288,2010,"Tanzania"
"Pwani"," Male",2.746032,5.12086677551,2010,"Tanzania"
"Pwani","Female",2.752983,5.13859033585,2010,"Tanzania"
"Rukwa"," Male",2.827513,4.94111347198,2010,"Tanzania"
"Rukwa","Female",2.793886,4.88472890854,2010,"Tanzania"
"Shinyanga"," Male",2.562105,4.65717315674,2010,"Tanzania"
"Shinyanga","Female",2.365385,4.44807672501,2010,"Tanzania"
"Singida"," Male",2.597043,4.58877658844,2010,"Tanzania"
"Singida","Female",2.727032,4.75620555878,2010,"Tanzania"
"Tabora"," Male",2.482821,4.53272724152,2010,"Tanzania"
"Tabora","Female",2.482213,4.606361866,2010,"Tanzania"
"Tanga"," Male",2.886161,4.7810382843,2010,"Tanzania"
"Tanga","Female",3.123043,5.02941179276,2010,"Tanzania"
"Arusha"," Male",2.941033,5.51675319672,2011,"Tanzania"
"Arusha","Female",3.050145,5.52043008804,2011,"Tanzania"
"Dar Es Salaam"," Male",3.058824,5.66598129272,2011,"Tanzania"
"Dar Es Salaam","Female",3.19141,5.78471565247,2011,"Tanzania"
"Dodoma"," Male",2.509125,5.00729942322,2011,"Tanzania"
"Dodoma","Female",2.574368,5.11931467056,2011,"Tanzania"
"Iringa"," Male",3.142153,5.75282144547,2011,"Tanzania"
"Iringa","Female",3.179679,5.82772064209,2011,"Tanzania"
"Kagera"," Male",2.559104,4.97667551041,2011,"Tanzania"
"Kagera","Female",2.629047,5.04118585587,2011,"Tanzania"
"Kigoma"," Male",2.585635,4.94436836243,2011,"Tanzania"
"Kigoma","Female",2.44095,4.81435489655,2011,"Tanzania"
"Kilimanjaro"," Male",3.229414,5.83671998978,2011,"Tanzania"
"Kilimanjaro","Female",3.434497,6.02850294113,2011,"Tanzania"
"Lindi"," Male",2.463027,5.04743289948,2011,"Tanzania"
"Lindi","Female",2.450999,5.10813331604,2011,"Tanzania"
"Manyara"," Male",2.868598,5.42480421066,2011,"Tanzania"
"Manyara","Female",3.020893,5.66991090775,2011,"Tanzania"
"Mara"," Male",2.608314,5.10413837433,2011,"Tanzania"
"Mara","Female",2.559041,5.02034378052,2011,"Tanzania"
"Mbeya"," Male",2.856143,5.55048751831,2011,"Tanzania"
"Mbeya","Female",2.953916,5.70773649216,2011,"Tanzania"
"Morogoro"," Male",2.660244,5.33489227295,2011,"Tanzania"
"Morogoro","Female",2.708494,5.38915538788,2011,"Tanzania"
"Mtwara"," Male",2.440139,5.1198182106,2011,"Tanzania"
"Mtwara","Female",2.476657,5.22556829453,2011,"Tanzania"
"Mwanza"," Male",2.524183,5.1257724762,2011,"Tanzania"
"Mwanza","Female",2.530327,5.05545186996,2011,"Tanzania"
"Pwani"," Male",2.616028,5.29817914963,2011,"Tanzania"
"Pwani","Female",2.73506,5.46807813644,2011,"Tanzania"
"Rukwa"," Male",2.53204,5.29090166092,2011,"Tanzania"
"Rukwa","Female",2.483396,5.19742298126,2011,"Tanzania"
"Ruvuma"," Male",2.591296,5.26184892654,2011,"Tanzania"
"Ruvuma","Female",2.616682,5.20371198654,2011,"Tanzania"
"Shinyanga"," Male",2.464965,4.86847257614,2011,"Tanzania"
"Shinyanga","Female",2.411717,4.82892274857,2011,"Tanzania"
"Singida"," Male",2.837808,5.43150281906,2011,"Tanzania"
"Singida","Female",2.873433,5.41809558868,2011,"Tanzania"
"Tabora"," Male",2.504396,4.95935821533,2011,"Tanzania"
"Tabora","Female",2.529049,5.02671909332,2011,"Tanzania"
"Tanga"," Male",2.619087,5.36864995956,2011,"Tanzania"
"Tanga","Female",2.765029,5.50054645538,2011,"Tanzania"
"Arusha"," Male",3.019374,5.70601415634,2012,"Tanzania"
"Arusha","Female",3.178112,5.79510831833,2012,"Tanzania"
"Dar Es Salaam"," Male",3.240443,5.98294878006,2012,"Tanzania"
"Dar Es Salaam","Female",3.293169,6.139336586,2012,"Tanzania"
"Dodoma"," Male",2.576908,5.32958221436,2012,"Tanzania"
"Dodoma","Female",2.708619,5.57756662369,2012,"Tanzania"
"Iringa"," Male",3.135986,5.90541934967,2012,"Tanzania"
"Iringa","Female",3.179701,5.99435424805,2012,"Tanzania"
"Kagera"," Male",2.612968,5.21461772919,2012,"Tanzania"
"Kagera","Female",2.61718,5.20814466476,2012,"Tanzania"
"Kigoma"," Male",2.398933,5.03627967834,2012,"Tanzania"
"Kigoma","Female",2.410141,5.00063848495,2012,"Tanzania"
"Kilimanjaro"," Male",3.3252,6.07145452499,2012,"Tanzania"
"Kilimanjaro","Female",3.409534,6.17391300201,2012,"Tanzania"
"Lindi"," Male",2.487192,5.40508794785,2012,"Tanzania"
"Lindi","Female",2.507042,5.57211780548,2012,"Tanzania"
"Manyara"," Male",3.024787,5.60971832275,2012,"Tanzania"
"Manyara","Female",3.162407,5.78484964371,2012,"Tanzania"
"Mara"," Male",2.673236,5.30969285965,2012,"Tanzania"
"Mara","Female",2.64261,5.17168664932,2012,"Tanzania"
"Mbeya"," Male",2.803697,5.56974220276,2012,"Tanzania"
"Mbeya","Female",2.891524,5.71017026901,2012,"Tanzania"
"Morogoro"," Male",2.670208,5.54356479645,2012,"Tanzania"
"Morogoro","Female",2.72309,5.75508451462,2012,"Tanzania"
"Mwanza"," Male",2.654096,5.31246757507,2012,"Tanzania"
"Mwanza","Female",2.721955,5.40512037277,2012,"Tanzania"
"Pwani"," Male",2.706699,5.62036657333,2012,"Tanzania"
"Pwani","Female",2.724638,5.74039983749,2012,"Tanzania"
"Rukwa"," Male",2.654356,5.54203367233,2012,"Tanzania"
"Rukwa","Female",2.672676,5.63698101044,2012,"Tanzania"
"Ruvuma"," Male",2.932266,5.76621007919,2012,"Tanzania"
"Ruvuma","Female",2.976493,5.73837471008,2012,"Tanzania"
"Shinyanga"," Male",2.588747,5.05368232727,2012,"Tanzania"
"Shinyanga","Female",2.565131,4.97366952896,2012,"Tanzania"
"Singida"," Male",2.845135,5.64344263077,2012,"Tanzania"
"Singida","Female",2.891723,5.75660085678,2012,"Tanzania"
"Tabora"," Male",2.667264,5.36002874374,2012,"Tanzania"
"Tabora","Female",2.582808,5.27098035812,2012,"Tanzania"
"Tanga"," Male",2.718279,5.53854513168,2012,"Tanzania"
"Tanga","Female",2.841396,5.71409797668,2012,"Tanzania"
